match_id,match_seq_num,game_mode,start_time,date,radiant_win,league_id,league_name,league_prize_pool,radiant_name,radiant_team_id,radiant_captain,radiant_team_complete,dire_name,dire_team_id,dire_captain,dire_team_complete,r1_account_id,r2_account_id,r3_account_id,r4_account_id,r5_account_id,d1_account_id,d2_account_id,d3_account_id,d4_account_id,d5_account_id,duration,first_blood_time,negative_votes,positive_votes,human_players
263344752,238978089,2,1375637586,2013-08-04,True,65006,The International 2013 Pass,2874380,Zenith,2,,1,DK,7,,1,84772440,93670407,82630959,121052479,85417034,91698091,90892734,90882159,89399750,89407113,2071,37,112,2946,10
263385734,239018144,2,1375640557,2013-08-04,True,65006,The International 2013 Pass,2874380,Invictus Gaming,5,,1,Virtus.pro,1883502,,1,82327674,90137663,88585077,90045009,88553213,26316691,93712171,91931211,86840554,107644273,2544,276,286,4181,10
263395326,239018163,2,1375641641,2013-08-04,True,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,LGD-GAMING.int,77666,,1,89871557,89330493,89249333,91644707,93616251,87196890,87382579,87586992,31818853,87285329,1457,142,39,945,10
263406210,239035001,2,1375642262,2013-08-04,False,65006,The International 2013 Pass,2874380,Team Liquid,2163,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,67601693,1185644,41470731,30237211,86715129,89423756,89246836,88521435,99460568,89296893,2311,171,84,1113,10
263429901,239047400,2,1375644056,2013-08-04,False,65006,The International 2013 Pass,2874380,Virtus.pro,1883502,,1,Invictus Gaming,5,,1,93712171,26316691,91931211,86840554,107644273,90137663,82327674,88585077,90045009,88553213,1611,106,273,1911,10
263433706,239056895,2,1375644497,2013-08-04,True,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,LGD-GAMING.int,77666,,1,89871557,89330493,89249333,91644707,93616251,87196890,87382579,87586992,31818853,87285329,1994,148,117,1964,10
263451354,239066178,2,1375645999,2013-08-04,True,65006,The International 2013 Pass,2874380,Team Liquid,2163,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,67601693,1185644,41470731,30237211,86715129,89423756,89246836,99460568,88521435,89296893,1304,54,105,2118,10
263470198,239081147,2,1375647413,2013-08-05,True,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,Invasion MUFC,497529,,1,94155156,19672354,100317750,8712306,21265941,80576254,91143798,86762037,89268488,96708830,1201,568,103,1119,10
263481245,239114926,2,1375648588,2013-08-05,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,DK,7,,1,87278757,89625472,70388657,82262664,86723143,90882159,90892734,91698091,89399750,89407113,3439,62,737,17486,10
263494556,239109020,2,1375649700,2013-08-05,True,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,Invasion MUFC,497529,,1,94155156,19672354,100317750,8712306,21265941,89268488,91143798,80576254,96708830,86762037,1660,166,34,675,10
263495756,239114529,2,1375649785,2013-08-05,True,65006,The International 2013 Pass,2874380,mousesports,26,,1,LGD-GAMING,15,,1,4281729,86738694,86799300,31078647,21289303,108382060,98887913,98878010,89371588,114239371,2157,317,45,937,10
263497811,239114925,2,1375649888,2013-08-05,True,65006,The International 2013 Pass,2874380,Team Dignitas,142,,1,Zenith,2,,1,38515149,5448108,87276347,40547474,10366616,93670407,84772440,82630959,121052479,85417034,2069,0,36,690,10
263525880,239146846,2,1375652744,2013-08-05,True,65006,The International 2013 Pass,2874380,RaTtLeSnAkE. CN GaMiNg,496774,,1,Virtus.pro,1883502,,1,89246836,89423756,99460568,88521435,89296893,26316691,93712171,91931211,86840554,107644273,2784,142,211,1673,10
263525190,239139858,2,1375652821,2013-08-05,True,65006,The International 2013 Pass,2874380,Zenith,2,,1,Team Dignitas,142,,1,84772440,93670407,82630959,121052479,85417034,5448108,38515149,40547474,87276347,10366616,1882,331,103,1191,10
263526474,239150455,2,1375653081,2013-08-05,False,65006,The International 2013 Pass,2874380,mousesports,26,,1,LGD-GAMING,15,,1,4281729,86738694,86799300,31078647,21289303,89371588,98887913,98878010,114239371,108382060,2868,118,372,2694,10
263532024,239144950,2,1375653611,2013-08-05,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,DK,7,,1,87278757,89625472,70388657,82262664,86723143,89399750,90892734,90882159,91698091,89407113,1694,47,311,9323,10
263557879,239176634,2,1375656602,2013-08-05,True,65006,The International 2013 Pass,2874380,Virtus.pro,1883502,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,93712171,26316691,91931211,107644273,86840554,99460568,89246836,89423756,88521435,89296893,2741,173,179,1656,10
263559744,239181013,2,1375656839,2013-08-05,True,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,Invictus Gaming,5,,1,89871557,89249333,89330493,93616251,91644707,90045009,82327674,88585077,90137663,88553213,3134,172,139,2776,10
263565113,239175050,2,1375657580,2013-08-05,False,65006,The International 2013 Pass,2874380,Team Liquid,2163,,1,Alliance,111474,,1,67601693,1185644,41470731,30237211,86715129,41288955,41231571,101495620,3916428,76482434,1537,26,180,3476,10
263584058,239196784,2,1375660281,2013-08-05,False,65006,The International 2013 Pass,2874380,Team Liquid,2163,,1,Alliance,111474,,1,67601693,1185644,41470731,30237211,86715129,41288955,41231571,101495620,3916428,76482434,2112,537,140,4487,10
263591396,239205191,2,1375661130,2013-08-05,True,65006,The International 2013 Pass,2874380,mousesports,26,,1,Invasion MUFC,497529,,1,4281729,86799300,86738694,31078647,21289303,86762037,91143798,89268488,96708830,80576254,2485,434,279,1651,10
263593584,239199086,2,1375661740,2013-08-05,False,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,Invictus Gaming,5,,1,89871557,89249333,89330493,91644707,93616251,88585077,82327674,90045009,90137663,88553213,1010,84,103,1862,10
263612072,239227191,2,1375664208,2013-08-05,False,65006,The International 2013 Pass,2874380,Zenith,2,,1,LGD-GAMING,15,,1,84772440,93670407,82630959,121052479,85417034,108382060,98887913,98878010,89371588,114239371,3000,538,240,3933,10
263615518,239223463,2,1375664701,2013-08-05,False,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,DK,7,,1,94155156,19672354,100317750,8712306,21265941,90882159,90892734,89399750,91698091,89407113,1952,36,119,2626,10
263615039,239220417,2,1375664732,2013-08-05,False,65006,The International 2013 Pass,2874380,Team Dignitas,142,,1,Natus Vincere,36,,1,38515149,5448108,87276347,40547474,10366616,89625472,87278757,70388657,82262664,86723143,1419,264,143,4780,10
263615830,239224020,2,1375664844,2013-08-05,True,65006,The International 2013 Pass,2874380,mousesports,26,,1,Invasion MUFC,497529,,1,4281729,86738694,86799300,31078647,21289303,80576254,91143798,89268488,96708830,86762037,1899,255,39,595,10
263632423,239233964,2,1375667554,2013-08-05,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Team Dignitas,142,,1,87278757,89625472,70388657,82262664,86723143,5448108,38515149,40547474,87276347,10366616,887,277,189,4987,10
263633662,239242613,2,1375667681,2013-08-05,False,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,DK,7,,1,94155156,19672354,100317750,8712306,21265941,89399750,90892734,90882159,91698091,89407113,2161,515,158,3983,10
263639362,239245404,2,1375668595,2013-08-05,False,65006,The International 2013 Pass,2874380,Virtus.pro,1883502,,1,Alliance,111474,,1,93712171,26316691,91931211,86840554,107644273,41288955,41231571,101495620,3916428,76482434,1572,32,187,2562,10
263639860,239247139,2,1375668599,2013-08-05,False,65006,The International 2013 Pass,2874380,Zenith,2,,1,LGD-GAMING,15,,1,84772440,93670407,82630959,121052479,85417034,108382060,98887913,98878010,114239371,89371588,1874,546,104,1496,10
263657611,239258355,2,1375671274,2013-08-05,True,65006,The International 2013 Pass,2874380,Alliance,111474,,1,Virtus.pro,1883502,,1,41231571,41288955,101495620,3916428,76482434,26316691,93712171,91931211,107644273,86840554,1054,213,185,2375,10
263659844,239262308,2,1375671706,2013-08-05,True,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,89871557,89249333,89330493,93616251,91644707,89423756,89246836,99460568,88521435,89296893,1205,38,90,952,10
263663368,239272455,2,1375672163,2013-08-05,True,65006,The International 2013 Pass,2874380,Team Liquid,2163,,1,LGD-GAMING.int,77666,,1,67601693,1185644,41470731,30237211,86715129,87196890,87382579,87586992,31818853,87285329,2299,136,190,2271,10
263677108,239280233,2,1375673876,2013-08-05,True,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,89871557,89330493,89249333,91644707,93616251,99460568,89246836,89423756,88521435,89296893,1717,308,61,885,10
263688319,239300750,2,1375675627,2013-08-05,False,65006,The International 2013 Pass,2874380,LGD-GAMING.int,77666,,1,Team Liquid,2163,,1,87382579,87196890,87586992,31818853,87285329,1185644,67601693,41470731,30237211,86715129,3010,0,441,4779,10
264322647,239890444,2,1375720082,2013-08-05,False,65006,The International 2013 Pass,2874380,mousesports,26,,1,DK,7,,1,4281729,86799300,86738694,31078647,21289303,90882159,90892734,89407113,89399750,91698091,2515,141,633,7756,10
264324774,239884282,2,1375720089,2013-08-05,False,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,Team Dignitas,142,,1,94155156,19672354,100317750,8712306,21265941,5448108,38515149,40547474,87276347,10366616,1945,278,561,4823,10
264323424,239884567,2,1375720164,2013-08-05,False,65006,The International 2013 Pass,2874380,Invasion MUFC,497529,,1,Zenith,2,,1,91143798,80576254,89268488,96708830,86762037,93670407,84772440,82630959,121052479,85417034,1860,386,102,1647,10
264336354,239905809,2,1375721470,2013-08-05,False,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,LGD-GAMING,15,,1,87278757,89625472,70388657,82262664,86723143,108382060,98887913,98878010,89371588,114239371,2599,215,1861,25163,10
264360198,239921878,2,1375723260,2013-08-05,False,65006,The International 2013 Pass,2874380,Team Dignitas,142,,1,Fnatic,350190,,1,38515149,5448108,87276347,40547474,10366616,19672354,94155156,100317750,8712306,21265941,2175,320,221,2754,10
264360439,239916562,2,1375723418,2013-08-05,True,65006,The International 2013 Pass,2874380,Zenith,2,,1,Invasion MUFC,497529,,1,84772440,93670407,82630959,121052479,85417034,80576254,91143798,89268488,96708830,86762037,1568,323,119,1063,10
264368248,239944810,2,1375724024,2013-08-05,False,65006,The International 2013 Pass,2874380,mousesports,26,,1,DK,7,,1,4281729,86799300,86738694,31078647,21289303,90882159,90892734,89399750,91698091,89407113,3401,308,657,5065,10
264386517,239931201,2,1375725352,2013-08-05,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,LGD-GAMING,15,,1,87278757,89625472,70388657,82262664,86723143,108382060,98887913,89371588,114239371,98878010,951,6,759,26629,10
264412165,239967004,2,1375727257,2013-08-05,False,65006,The International 2013 Pass,2874380,Virtus.pro,1883502,,1,LGD-GAMING.int,77666,,1,93712171,26316691,91931211,86840554,107644273,87196890,87382579,87586992,31818853,87285329,2007,116,265,2871,10
264422834,239975038,2,1375728167,2013-08-05,True,65006,The International 2013 Pass,2874380,Invictus Gaming,5,,1,Team Liquid,2163,,1,82327674,90045009,88585077,90137663,88553213,1185644,67601693,41470731,30237211,86715129,1710,222,227,4473,10
264431672,239985386,2,1375728939,2013-08-05,False,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,Alliance,111474,,1,89871557,89330493,89249333,93616251,91644707,41288955,41231571,101495620,3916428,76482434,1756,139,360,6747,10
264450476,239998266,2,1375730024,2013-08-05,False,65006,The International 2013 Pass,2874380,LGD-GAMING.int,77666,,1,Virtus.pro,1883502,,1,87382579,87196890,87586992,31818853,87285329,26316691,93712171,91931211,107644273,86840554,1743,171,215,2843,10
264459306,240006157,2,1375731019,2013-08-05,True,65006,The International 2013 Pass,2874380,Invictus Gaming,5,,1,Team Liquid,2163,,1,82327674,90137663,88585077,90045009,88553213,1185644,67601693,41470731,30237211,86715129,1418,266,245,3927,10
264470591,240011316,2,1375732019,2013-08-05,False,65006,The International 2013 Pass,2874380,Orange.Neolution Esports,416900,,1,Alliance,111474,,1,89330493,89249333,89871557,93616251,91644707,41288955,41231571,101495620,3916428,76482434,842,0,342,7069,10
264504100,240059364,2,1375734170,2013-08-06,False,65006,The International 2013 Pass,2874380,Team Dignitas,142,,1,LGD-GAMING,15,,1,38515149,5448108,87276347,40547474,10366616,108382060,98887913,98878010,89371588,114239371,2670,60,374,5799,10
266642819,242055205,2,1375906069,2013-08-08,False,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Orange.Neolution Esports,416900,,1,87278757,89625472,70388657,82262664,86723143,89249333,89871557,89330493,91644707,93616251,2168,4,2647,33726,10
266675550,242082982,2,1375909776,2013-08-08,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Orange.Neolution Esports,416900,,1,87278757,89625472,70388657,82262664,86723143,89249333,89871557,89330493,91644707,93616251,1494,317,879,16742,10
266691076,242098106,2,1375912949,2013-08-08,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Orange.Neolution Esports,416900,,1,87278757,89625472,70388657,82262664,86723143,89330493,89871557,89249333,91644707,93616251,1553,216,874,20710,10
266777348,242179455,2,1375924911,2013-08-08,True,65006,The International 2013 Pass,2874380,Team Dignitas,142,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,38515149,5448108,87276347,40547474,10366616,89423756,89246836,88521435,99460568,89296893,2184,193,406,5641,10
